Definiere: Marke	"Ein Zeichen, das geeignet ist, Waren oder Dienstleistungen eines Unternehmens von denjenigen anderer Unternehmen zu unterscheiden (<a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 1 MarkenG</a>). Schutz entsteht durch Eintragung, Verkehrsgeltung oder notorische Bekanntheit (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 MarkenG</a>).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 1 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__1.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 1 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 MarkenG</a>"	Begriff Grundlagen
"Welcher Begriff wird so definiert?<br><br>Wer die Verletzungshandlung vorsätzlich oder fahrlässig begeht, ist zum Ersatz des entstandenen Schadens verpflichtet. Berechnung nach Wahl des Verletzten: (1) konkreter Schaden inkl. entgangenem Gewinn, (2) Herausgabe des Verletzergewinns (<a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 6 S. 2</a>), (3) angemessene Lizenzgebühr (Lizenzanalogie, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 6 S. 3</a>)."	"Schadensersatz (<a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 6</a>) und dreifache Schadensberechnung"	Begriff Umkehr Rechtsfolgen
Definiere: Lizenzanalogie	"Methode der Schadensberechnung: Der Verletzer schuldet den Betrag, den er als angemessene Vergütung hätte entrichten müssen, wenn er die Erlaubnis zur Nutzung des Kennzeichens eingeholt hätte (<a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 6 S. 3</a>).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 13 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 6 S. 3 MarkenG</a><br><br>Rechtsprechung: BGH BTK (I ZR 169/07); EuGH Liffers/Mandarina (C-99/15)"	Begriff Rechtsfolgen
"Welcher Begriff wird so definiert?<br><br>Methode der Schadensberechnung: Der Verletzer schuldet den Betrag, den er als angemessene Vergütung hätte entrichten müssen, wenn er die Erlaubnis zur Nutzung des Kennzeichens eingeholt hätte (<a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 6 S. 3</a>)."	Lizenzanalogie	Begriff Umkehr Rechtsfolgen
"Definiere: Vernichtung, Rückruf, Auskunft (§§ <a href=""https://www.gesetze-im-internet.de/markeng/__18.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">18</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">19</a>)"	"Der Verletzte kann Vernichtung der widerrechtlich gekennzeichneten Waren und der Herstellungsmittel (<a href=""https://www.gesetze-im-internet.de/markeng/__18.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 18 Abs. 1</a>) sowie Rückruf und Entfernung aus den Vertriebswegen (<a href=""https://www.gesetze-im-internet.de/markeng/__18.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 18 Abs. 2</a>) verlangen, soweit verhältnismäßig (<a href=""https://www.gesetze-im-internet.de/markeng/__18.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 18 Abs. 3</a>). Ferner Auskunft über Herkunft und Vertriebsweg (<a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19</a>), auch gegen Dritte (<a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 2</a>), bei offensichtlicher Verletzung im Eilverfahren (<a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 7</a>).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 10 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 12 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__18.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 18 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19a.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19a MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19b.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19b MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19c.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19c MarkenG</a><br><br>Rechtsprechung: EuGH NEW WAVE CZ/ALLTOYS (C-427/15)"	Begriff Rechtsfolgen
"Welcher Begriff wird so definiert?<br><br>Der Verletzte kann Vernichtung der widerrechtlich gekennzeichneten Waren und der Herstellungsmittel (<a href=""https://www.gesetze-im-internet.de/markeng/__18.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 18 Abs. 1</a>) sowie Rückruf und Entfernung aus den Vertriebswegen (<a href=""https://www.gesetze-im-internet.de/markeng/__18.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 18 Abs. 2</a>) verlangen, soweit verhältnismäßig (<a href=""https://www.gesetze-im-internet.de/markeng/__18.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 18 Abs. 3</a>). Ferner Auskunft über Herkunft und Vertriebsweg (<a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19</a>), auch gegen Dritte (<a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 2</a>), bei offensichtlicher Verletzung im Eilverfahren (<a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 7</a>)."	"Vernichtung, Rückruf, Auskunft (§§ <a href=""https://www.gesetze-im-internet.de/markeng/__18.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">18</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">19</a>)"	Begriff Umkehr Rechtsfolgen
Definiere: Täter-, Teilnehmer- und Störerhaftung	"Täter ist, wer die Verletzungshandlung selbst (oder mittäterschaftlich) begeht; Teilnehmer (Anstifter/Gehilfe) haftet bei vorsätzlicher Beteiligung an einer vorsätzlichen Haupttat; Störer ist, wer willentlich und adäquat kausal zur Verletzung beiträgt und zumutbare Prüfpflichten verletzt – er haftet nur auf Unterlassung, nicht auf Schadensersatz.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 11 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 5 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 7 MarkenG</a><br><br>Rechtsprechung: BGH Internet-Versteigerung II (I ZR 35/04); BGH Kinderhochstühle im Internet (I ZR 139/08); BGH Tork (I ZR 136/17); EuGH L'Oréal/eBay (C-324/09)"	Begriff Rechtsfolgen
Welcher Begriff wird so definiert?<br><br>Täter ist, wer die Verletzungshandlung selbst (oder mittäterschaftlich) begeht; Teilnehmer (Anstifter/Gehilfe) haftet bei vorsätzlicher Beteiligung an einer vorsätzlichen Haupttat; Störer ist, wer willentlich und adäquat kausal zur Verletzung beiträgt und zumutbare Prüfpflichten verletzt – er haftet nur auf Unterlassung, nicht auf Schadensersatz.	Täter-, Teilnehmer- und Störerhaftung	Begriff Umkehr Rechtsfolgen
Definiere: Durchsetzungsrichtlinie 2004/48/EG (DurchsetzungsRL)	"Richtlinie des Europäischen Parlaments und des Rates vom 29.4.2004 zur Durchsetzung der Rechte des geistigen Eigentums (ABl. L 157, S. 45; berichtigt ABl. L 195, S. 16). Sie harmonisiert nicht das materielle Recht, sondern die zivilrechtlichen Maßnahmen, Verfahren und Rechtsbehelfe bei Verletzung aller Rechte des geistigen Eigentums (Art. 1, 2): Beweise, Auskunft, einstweilige Maßnahmen, Rückruf und Vernichtung, Unterlassung, Schadensersatz, Kosten und Urteilsveröffentlichung.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 1 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 2 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 3 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 17 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 18 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 19 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 20 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 21 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 22 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__18.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 18 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19a.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19a MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19b.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19b MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19c.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19c MarkenG</a><br><br>Rechtsprechung: EuGH OTK/Stowarzyszenie Filmowców Polskich (C-367/15); EuGH Mircom/Telenet (C-597/19); EuGH NovaText/Universität Heidelberg (C-531/20); EuGH Promusicae/Telefónica (C-275/06)"	Begriff Rechtsfolgen
Welcher Begriff wird so definiert?<br><br>Richtlinie des Europäischen Parlaments und des Rates vom 29.4.2004 zur Durchsetzung der Rechte des geistigen Eigentums (ABl. L 157, S. 45; berichtigt ABl. L 195, S. 16). Sie harmonisiert nicht das materielle Recht, sondern die zivilrechtlichen Maßnahmen, Verfahren und Rechtsbehelfe bei Verletzung aller Rechte des geistigen Eigentums (Art. 1, 2): Beweise, Auskunft, einstweilige Maßnahmen, Rückruf und Vernichtung, Unterlassung, Schadensersatz, Kosten und Urteilsveröffentlichung.	Durchsetzungsrichtlinie 2004/48/EG (DurchsetzungsRL)	Begriff Umkehr Rechtsfolgen
Definiere: Gewerbliches Ausmaß	"Rechtsverletzungen, die zur Erlangung eines unmittelbaren oder mittelbaren wirtschaftlichen oder kommerziellen Vorteils vorgenommen werden; Handlungen gutgläubiger Endverbraucher sind in der Regel ausgeschlossen (Erwägungsgrund 14 DurchsetzungsRL). Voraussetzung der Drittauskunft (<a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 2</a>), der Vorlage von Bank-, Finanz- und Handelsunterlagen (<a href=""https://www.gesetze-im-internet.de/markeng/__19a.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19a Abs. 1 S. 2</a>) und der Sicherung von Schadensersatz (<a href=""https://www.gesetze-im-internet.de/markeng/__19b.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19b Abs. 1</a>).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 3 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 6 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 2 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19a.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19a MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19b.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19b MarkenG</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 9 DurchsetzungsRL</a><br><br>Rechtsprechung: EuGH Mircom/Telenet (C-597/19)"	Begriff Rechtsfolgen
"Welcher Begriff wird so definiert?<br><br>Rechtsverletzungen, die zur Erlangung eines unmittelbaren oder mittelbaren wirtschaftlichen oder kommerziellen Vorteils vorgenommen werden; Handlungen gutgläubiger Endverbraucher sind in der Regel ausgeschlossen (Erwägungsgrund 14 DurchsetzungsRL). Voraussetzung der Drittauskunft (<a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 2</a>), der Vorlage von Bank-, Finanz- und Handelsunterlagen (<a href=""https://www.gesetze-im-internet.de/markeng/__19a.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19a Abs. 1 S. 2</a>) und der Sicherung von Schadensersatz (<a href=""https://www.gesetze-im-internet.de/markeng/__19b.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19b Abs. 1</a>)."	Gewerbliches Ausmaß	Begriff Umkehr Rechtsfolgen
"Definiere: Auskunftsanspruch gegen Dritte (<a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 2</a>)"	"Bei offensichtlicher Rechtsverletzung oder nach Klageerhebung gegen den Verletzer richtet sich der Anspruch auf Auskunft über Herkunft und Vertriebsweg auch gegen Dritte, die in gewerblichem Ausmaß rechtsverletzende Ware besaßen, rechtsverletzende Dienstleistungen in Anspruch nahmen oder für rechtsverletzende Tätigkeiten genutzte Dienstleistungen erbrachten oder nach Angaben eines solchen an Herstellung oder Vertrieb beteiligt waren (<a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 2 S. 1 Nr. 1 bis 4</a> = <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 Abs. 1 lit. a bis d DurchsetzungsRL</a>). Ausgenommen sind Zeugnisverweigerungsberechtigte nach §§ <a href=""https://www.gesetze-im-internet.de/zpo/__383.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">383</a> bis <a href=""https://www.gesetze-im-internet.de/zpo/__385.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">385</a> ZPO.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 2 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 3 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 7 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 9 MarkenG</a><br><br>Rechtsprechung: EuGH Coty Germany/Stadtsparkasse Magdeburg (C-580/13); BGH Davidoff Hot Water II (I ZR 51/12); EuGH Constantin Film Verleih/YouTube (C-264/19); EuGH NEW WAVE CZ/ALLTOYS (C-427/15)"	Begriff Rechtsfolgen
"Welcher Begriff wird so definiert?<br><br>Bei offensichtlicher Rechtsverletzung oder nach Klageerhebung gegen den Verletzer richtet sich der Anspruch auf Auskunft über Herkunft und Vertriebsweg auch gegen Dritte, die in gewerblichem Ausmaß rechtsverletzende Ware besaßen, rechtsverletzende Dienstleistungen in Anspruch nahmen oder für rechtsverletzende Tätigkeiten genutzte Dienstleistungen erbrachten oder nach Angaben eines solchen an Herstellung oder Vertrieb beteiligt waren (<a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 2 S. 1 Nr. 1 bis 4</a> = <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 Abs. 1 lit. a bis d DurchsetzungsRL</a>). Ausgenommen sind Zeugnisverweigerungsberechtigte nach §§ <a href=""https://www.gesetze-im-internet.de/zpo/__383.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">383</a> bis <a href=""https://www.gesetze-im-internet.de/zpo/__385.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">385</a> ZPO."	"Auskunftsanspruch gegen Dritte (<a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 2</a>)"	Begriff Umkehr Rechtsfolgen
"Definiere: Vorlage- und Besichtigungsanspruch (<a href=""https://www.gesetze-im-internet.de/markeng/__19a.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19a</a>)"	"Bei hinreichender Wahrscheinlichkeit einer Rechtsverletzung kann der Inhaber vom vermeintlichen Verletzer die Vorlage einer Urkunde oder die Besichtigung einer Sache in dessen Verfügungsgewalt verlangen, wenn dies zur Begründung seiner Ansprüche erforderlich ist; bei gewerblichem Ausmaß auch die Vorlage von Bank-, Finanz- oder Handelsunterlagen (<a href=""https://www.gesetze-im-internet.de/markeng/__19a.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19a Abs. 1</a>; <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 6, 7 DurchsetzungsRL</a>).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 6 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 7 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19a.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19a MarkenG</a><br><br>Rechtsprechung: BGH Faxkarte (I ZR 45/01)"	Begriff Rechtsfolgen
"Welcher Begriff wird so definiert?<br><br>Bei hinreichender Wahrscheinlichkeit einer Rechtsverletzung kann der Inhaber vom vermeintlichen Verletzer die Vorlage einer Urkunde oder die Besichtigung einer Sache in dessen Verfügungsgewalt verlangen, wenn dies zur Begründung seiner Ansprüche erforderlich ist; bei gewerblichem Ausmaß auch die Vorlage von Bank-, Finanz- oder Handelsunterlagen (<a href=""https://www.gesetze-im-internet.de/markeng/__19a.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19a Abs. 1</a>; <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 6, 7 DurchsetzungsRL</a>)."	"Vorlage- und Besichtigungsanspruch (<a href=""https://www.gesetze-im-internet.de/markeng/__19a.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19a</a>)"	Begriff Umkehr Rechtsfolgen
"Definiere: Sicherung von Schadensersatzansprüchen (<a href=""https://www.gesetze-im-internet.de/markeng/__19b.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19b</a>)"	"Bei einer in gewerblichem Ausmaß begangenen Verletzung kann der Verletzte vom Verletzer die Vorlage von Bank-, Finanz- oder Handelsunterlagen verlangen, die für die Durchsetzung des Schadensersatzanspruchs erforderlich sind, wenn ohne sie dessen Erfüllung fraglich ist (<a href=""https://www.gesetze-im-internet.de/markeng/__19b.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19b Abs. 1</a>; <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 9 Abs. 2 DurchsetzungsRL</a>).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 9 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19b.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19b MarkenG</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 9 Abs. 2 DurchsetzungsRL</a>"	Begriff Rechtsfolgen
